[admin.py:29] - 2023-08-04 22:57:07,049 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-08-04 22:57:07,049 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-08-04 22:57:07,055 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\user\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe', 'C:\\Users\\user\\OneDrive - SUPCOM\\Bureau\\garb\\Luna-Grabber-main\\builder.pyw']
[admin.py:80] - 2023-08-04 22:57:07,055 - INFO - Running command 'C:\\Users\\user\\AppData\\Local\\Programs\\Python\\Python311\\pythonw.exe' - '"C:\\Users\\user\\OneDrive - SUPCOM\\Bureau\\garb\\Luna-Grabber-main\\builder.pyw"'
[admin.py:29] - 2023-08-04 22:57:09,404 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,498 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,498 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,498 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:190] - 2023-08-04 22:57:09,499 - DEBUG - STREAM b'pHYs' 70 9
